date,float,Close/Last,Open,High,Low
08/27/2021,159.73,15129.5,14969.77,15144.48,14966.52
08/26/2021,-79.3600000000006,14945.81,15025.17,15059.63,14939.56
08/25/2021,2.82999999999993,15041.86,15039.03,15059.43,15011.58
08/24/2021,41.6599999999999,15019.8,14978.14,15034.89,14965.54
08/23/2021,165.67,14942.65,14776.98,14963.47,14776.98
08/20/2021,143.129999999999,14714.66,14571.53,14722.16,14571.53
08/19/2021,118.630000000001,14541.79,14423.16,14610.76,14423.16
08/18/2021,-110.33,14525.91,14636.24,14697.25,14516.3
08/17/2021,-14.3799999999992,14656.18,14670.56,14716.95,14550.88
08/16/2021,22.2299999999996,14793.76,14771.53,14794.68,14610.02
08/13/2021,-2.17000000000007,14822.9,14825.07,14850.61,14797.22
08/12/2021,64.8999999999996,14816.26,14751.36,14824.31,14698.94
08/11/2021,-69.2399999999998,14765.14,14834.38,14842.5,14692.41
08/10/2021,-99.6499999999996,14788.09,14887.74,14894.61,14754.48
08/09/2021,4.42000000000007,14860.18,14855.76,14883.81,14802.69
08/06/2021,-28.4599999999991,14835.76,14864.22,14890.18,14788.59
08/05/2021,101.040000000001,14895.12,14794.08,14896.47,14776.03
08/04/2021,33.3200000000015,14780.53,14747.21,14812.37,14734.12
08/03/2021,47.3000000000011,14761.29,14713.99,14762.6,14584.09
08/02/2021,8.38999999999942,14681.07,14672.68,14770.41,14665.67
07/30/2021,56.8299999999999,14672.68,14615.85,14728.78,14615.85
07/29/2021,7.09000000000015,14778.26,14771.17,14833.74,14761.38
07/28/2021,-20.9600000000009,14762.58,14783.54,14798.88,14645.63
07/27/2021,-147.370000000001,14660.58,14807.95,14811.08,14503.76
07/26/2021,19.6799999999985,14840.71,14821.03,14863.65,14790.49
07/23/2021,83.9300000000003,14836.99,14753.06,14846.06,14698.77
07/22/2021,31.880000000001,14684.6,14652.72,14694.19,14617.87
07/21/2021,123.200000000001,14631.95,14508.75,14633.14,14498.65
07/20/2021,168.42,14498.88,14330.46,14555.75,14271.23
07/19/2021,39,14274.98,14235.98,14313.6,14178.66
07/16/2021,-170.27,14427.24,14597.51,14623.02,14413.32
07/15/2021,-92.6500000000015,14543.13,14635.78,14650.37,14451.8
07/14/2021,-135.949999999999,14644.95,14780.9,14790.55,14632.95
07/13/2021,-37.4799999999996,14677.65,14715.13,14803.68,14660.19
07/12/2021,-10.6200000000008,14733.24,14743.86,14761.08,14672.63
07/09/2021,40.5,14701.92,14661.42,14710.2,14552.26
07/08/2021,150.58,14559.78,14409.2,14610.06,14371.59
07/07/2021,-88.3500000000004,14665.06,14753.41,14755.33,14580.79
07/06/2021,2.09000000000015,14663.64,14661.55,14687,14529.8
07/02/2021,56.3500000000004,14639.33,14582.98,14649.11,14555.34
07/01/2021,28.6899999999987,14522.38,14493.69,14533.55,14439.4
06/30/2021,-5.89999999999964,14503.95,14509.85,14526.81,14478.06
06/29/2021,19.1399999999994,14528.33,14509.19,14535.97,14471.38
06/28/2021,82.7000000000007,14500.51,14417.81,14505.19,14417.2
06/25/2021,-40.4200000000001,14360.39,14400.81,14409.08,14337.65
06/24/2021,12.4399999999987,14369.71,14357.27,14414.46,14333.7
06/23/2021,8.35000000000036,14271.73,14263.38,14317.66,14246.3
06/22/2021,114.98,14253.27,14138.29,14269.77,14121
06/21/2021,94.0599999999995,14141.48,14047.42,14150.78,13960.04
06/18/2021,-66.5500000000011,14030.38,14096.93,14129.22,14009.04
06/17/2021,162.220000000001,14161.35,13999.13,14196.21,13998.93
06/16/2021,-45.869999999999,14039.68,14085.55,14129.69,13903.73
06/15/2021,-93.7799999999988,14072.86,14166.64,14171.02,14052.16
06/14/2021,90.6700000000001,14174.14,14083.47,14175.45,14056.67
06/11/2021,38.5699999999997,14069.42,14030.85,14069.42,14006.59
06/10/2021,86.4500000000007,14020.33,13933.88,14031.19,13904.4
06/09/2021,-68.4799999999996,13911.75,13980.23,14003.5,13906.45
06/08/2021,-21.4099999999999,13924.91,13946.32,13981.72,13831.98
06/07/2021,78.8999999999996,13881.72,13802.82,13889.11,13784.89
06/04/2021,117.24,13814.49,13697.25,13826.82,13692.01
06/03/2021,-41.2399999999998,13614.51,13655.75,13684.13,13548.93
06/02/2021,13.0900000000001,13756.33,13743.24,13775.89,13689.74
06/01/2021,-92.5799999999999,13736.48,13829.06,13836.17,13678.77
05/28/2021,-43.3099999999995,13748.74,13792.05,13820.87,13747.61
05/27/2021,-6.29999999999927,13736.28,13742.58,13776.52,13701.63
05/26/2021,44.0599999999995,13738,13693.94,13750.16,13679.59
05/25/2021,-64.3700000000008,13657.17,13721.54,13751.14,13631.8
05/24/2021,0,13661.17,13661.17,13708.85,13551.01
05/21/2021,-145.200000000001,13470.99,13616.19,13616.58,13463.26
05/20/2021,179.110000000001,13535.74,13356.63,13563.52,13355.71
05/19/2021,221.549999999999,13299.74,13078.19,13304.61,13072.23
05/18/2021,-113.26,13303.64,13416.9,13485.34,13299.93
05/17/2021,10.25,13379.05,13368.8,13399.17,13265.4
05/14/2021,123.4,13379.05,13255.65,13460.88,13242.97
05/13/2021,-25.9500000000007,13124.99,13150.94,13247.87,13007.24
05/12/2021,-183.81,13031.68,13215.49,13288.61,13002.54
05/11/2021,25.4400000000005,13389.43,13363.99,13423.31,13107.67
05/10/2021,-285.73,13401.86,13687.59,13687.93,13401.74
05/07/2021,29.1499999999996,13752.24,13723.09,13828.62,13690.75
05/06/2021,75.0100000000002,13632.84,13557.83,13635.73,13439.39
05/05/2021,-148.709999999999,13582.42,13731.13,13753.05,13553.93
05/04/2021,-141.01,13633.5,13774.51,13795.57,13485.59
05/03/2021,-136.65,13895.12,14031.77,14042.12,13881.51
04/30/2021,-8.04999999999927,13962.68,13970.73,14084.76,13941.63
04/29/2021,-121.960000000001,14082.55,14204.51,14211.57,13952.8
04/28/2021,-31.75,14051.03,14082.78,14133.65,14034.7
04/27/2021,-80.6900000000005,14090.22,14170.91,14171.24,14064.28
04/26/2021,86.4000000000015,14138.78,14052.38,14154.03,14019.5
04/23/2021,155.439999999999,14016.81,13861.37,14062.74,13856.83
04/22/2021,-134.16,13818.41,13952.57,14015.87,13771.04
04/21/2021,204.449999999999,13950.22,13745.77,13951.35,13706.86
04/20/2021,-108.189999999999,13786.27,13894.46,13927.67,13698.67
04/19/2021,-69.8099999999995,13914.77,13984.58,14041.79,13842.57
04/16/2021,-6.77000000000044,14052.34,14059.11,14062.5,13977.05
04/15/2021,55.5300000000007,14038.76,13983.23,14049.13,13970.42
04/14/2021,-147.43,13857.84,14005.27,14033.63,13839.04
04/13/2021,93.6499999999996,13996.1,13902.45,14011.51,13902.45
04/12/2021,-4.44000000000051,13850,13854.44,13877,13783.95
04/09/2021,113.18,13900.19,13787.01,13905.41,13748.35
04/08/2021,32.4200000000001,13829.31,13796.89,13830.14,13758.71
04/07/2021,13.5400000000009,13688.84,13675.3,13733.03,13653.59
04/06/2021,16.7099999999991,13698.38,13681.67,13776.71,13674.28
04/05/2021,110.690000000001,13705.59,13594.9,13720.58,13582.76
04/01/2021,65.7900000000009,13480.11,13414.32,13487.08,13404.18
03/31/2021,124.300000000001,13246.87,13122.57,13325.54,13118.38
03/30/2021,36.5900000000001,13045.39,13008.8,13075.75,12922.57
03/29/2021,-44.3199999999997,13059.65,13103.97,13143.41,12968.16
03/26/2021,142.689999999999,13138.72,12996.03,13149.55,12878.72
03/25/2021,133.1,12977.68,12844.58,13021.86,12786.81
03/24/2021,-327.35,12961.89,13289.24,13292.92,12961.35
03/23/2021,-153.73,13227.7,13381.43,13405.14,13202.43
03/22/2021,98.7600000000002,13377.54,13278.78,13455.64,13278.78
03/19/2021,95.3400000000002,13215.24,13119.9,13252.37,13039.45
03/18/2021,-233.030000000001,13116.17,13349.2,13384.46,13101.92
03/17/2021,188.290000000001,13525.2,13336.91,13595,13272.69
03/16/2021,-51.6000000000004,13471.57,13523.17,13620.71,13397.08
03/15/2021,136.24,13459.71,13323.47,13460.35,13272.5
03/12/2021,97.0500000000011,13319.86,13222.81,13324.69,13158.72
03/11/2021,125.360000000001,13398.67,13273.31,13433.62,13246.33
03/10/2021,-165.9,13068.83,13234.73,13277.11,13035.44
03/09/2021,150.75,13073.82,12923.07,13151.54,12882.49
03/08/2021,-295.1,12609.16,12904.26,13001,12599.23
03/05/2021,60.1099999999988,12920.15,12860.04,12941.21,12397.05
03/04/2021,-230.52,12723.47,12953.99,13068.71,12553.96
03/03/2021,-338.5,12997.75,13336.25,13372.52,12995.07
03/02/2021,-240.66,13358.79,13599.45,13601.33,13352
03/01/2021,182.67,13588.83,13406.16,13596.59,13362.66
02/26/2021,0,13192.35,13192.35,13368.06,13024.53
02/25/2021,-393.209999999999,13119.43,13512.64,13602.86,13066.38
02/24/2021,197.719999999999,13597.97,13400.25,13607.36,13286.59
02/23/2021,202.59,13465.2,13262.61,13526.09,13003.98
02/22/2021,-181.150000000001,13533.05,13714.2,13757.06,13530.96
02/19/2021,-54.7400000000016,13874.46,13929.2,13985.58,13842.6
02/18/2021,50.6900000000005,13865.36,13814.67,13905.96,13714.35
02/17/2021,53.8400000000001,13965.49,13911.65,13976.43,13804.26
02/16/2021,-104.709999999999,14047.5,14152.21,14175.11,13995.45
02/12/2021,116.26,14095.47,13979.21,14102.04,13937.71
02/11/2021,-19.4399999999987,14025.77,14045.21,14058.91,13916.85
02/10/2021,-120.82,13972.53,14093.35,14109.12,13845.47
02/09/2021,40.8900000000012,14007.7,13966.81,14044.95,13966.55
02/08/2021,50.5799999999999,13987.64,13937.06,13987.74,13894.15
02/05/2021,31.4200000000001,13856.3,13824.88,13878.16,13761.66
02/04/2021,103.68,13777.74,13674.06,13778.42,13631.62
02/03/2021,-107.769999999999,13610.54,13718.31,13723.83,13585.34
02/02/2021,69.6800000000003,13612.78,13543.1,13652.69,13535.86
02/01/2021,177.209999999999,13403.39,13226.18,13431.46,13132.47
01/29/2021,-214.029999999999,13070.69,13284.72,13322,12985.05
01/28/2021,13.869999999999,13337.16,13323.29,13507.64,13316.52
01/27/2021,-215.98,13270.6,13486.58,13538.42,13192.91
01/26/2021,-55.6599999999999,13626.06,13681.72,13702.69,13603.19
01/25/2021,-45.2199999999993,13635.99,13681.21,13728.98,13368.68
01/22/2021,68.25,13543.06,13474.81,13567.14,13463.66
01/21/2021,9.43000000000029,13530.91,13521.48,13560.35,13454.07
01/20/2021,114.700000000001,13457.25,13342.55,13486.13,13329.77
01/19/2021,64.4500000000007,13197.18,13132.73,13206.86,13078.7
01/15/2021,-101.4,12998.5,13099.9,13139.83,12949.76
01/14/2021,-62.1100000000006,13112.64,13174.75,13220.16,13098.41
01/13/2021,40.9400000000005,13128.95,13088.01,13171.15,13051.06
01/12/2021,10.3700000000008,13072.43,13062.06,13105.04,12963.92
01/11/2021,-12.3500000000004,13036.43,13048.78,13138.27,12999.51
01/08/2021,41.7600000000002,13201.98,13160.22,13208.09,13036.55
01/07/2021,200.139999999999,13067.48,12867.34,13090.91,12867.34
01/06/2021,74.6400000000012,12740.79,12666.15,12909.63,12649.99
01/05/2021,153.309999999999,12818.96,12665.65,12828.27,12665.65
01/04/2021,-260.07,12698.45,12958.52,12958.72,12543.24
12/31/2020,11.1900000000005,12888.28,12877.09,12902.07,12821.23
12/30/2020,-36.5100000000002,12870,12906.51,12924.93,12857.76
12/29/2020,-115.17,12850.22,12965.39,12973.33,12821.96
12/28/2020,-15.2199999999993,12899.42,12914.64,12930.89,12827.45
12/24/2020,13.1899999999987,12804.73,12791.54,12833.55,12767.64
12/23/2020,-63.8299999999999,12771.11,12834.94,12841.92,12758.67
12/22/2020,22.7000000000007,12807.92,12785.22,12840.57,12695.31
12/21/2020,146.380000000001,12742.52,12596.14,12751.27,12525.22
12/18/2020,-49.2900000000009,12755.64,12804.93,12809.6,12654.6
12/17/2020,33.9699999999993,12764.75,12730.78,12765.25,12696.35
12/16/2020,47.1499999999996,12658.19,12611.04,12687.32,12566.38
12/15/2020,51.7999999999993,12595.06,12543.26,12596.13,12465.42
12/14/2020,-7.39999999999964,12440.04,12447.44,12543,12432.71
12/11/2020,41.0799999999999,12377.87,12336.79,12383.5,12246.77
12/10/2020,158.26,12405.81,12247.55,12431.56,12214.74
12/09/2020,-252.74,12338.95,12591.69,12607.14,12290.78
12/08/2020,79.6000000000004,12582.77,12503.17,12594.54,12453.21
12/07/2020,58.9500000000007,12519.95,12461,12536.23,12460.55
12/04/2020,64.9099999999999,12464.23,12399.32,12464.23,12376.44
12/03/2020,7.92000000000007,12377.18,12369.26,12439.02,12356.99
12/02/2020,63.6200000000008,12349.37,12285.75,12360.06,12217.35
12/01/2020,41.75,12355.11,12313.36,12405.79,12263.93
11/30/2020,-25.5100000000002,12198.74,12224.25,12244.65,12027.16
11/27/2020,46.6700000000001,12205.85,12159.18,12236.23,12154.57
11/25/2020,25.0599999999995,12094.4,12069.34,12114.77,12020.95
11/24/2020,98,12037.33,11939.33,12049.88,11863.45
11/23/2020,-35.5900000000001,11881.17,11916.76,11949.33,11796.53
11/20/2020,-37.7300000000014,11854.97,11892.7,11935.47,11852.51
11/19/2020,125.669999999998,11904.71,11779.04,11912.63,11760.98
11/18/2020,-94.4599999999991,11801.6,11896.06,11942.49,11799.96
11/17/2020,-14.0100000000002,11899.34,11913.35,11950.18,11852.41
11/16/2020,77.0199999999986,11924.13,11847.11,11937.72,11814.89
11/13/2020,34.3500000000004,11829.29,11794.94,11849.79,11715.52
11/12/2020,-92.9099999999999,11709.59,11802.5,11847.84,11666.37
11/11/2020,129.780000000001,11786.43,11656.65,11793.57,11638.9
